NombreAgente;UbicacionLatitud;UbicacionLongitud;StockBotellas_0.5 lts;StockBotellas_1.0 lts;StockBotellas_1.6 lts;StockBotellas_2.0 lts;StockBotellas_2.250 lts;StockBotellas_20.0 lts
Donador1;-20.2367;-70.1492;961;1121;1462;1048;1974;876
Donador2;-20.2298;-70.1415;1035;752;1205;1333;1885;1522
Donador3;-20.2402;-70.1376;1123;1589;1337;985;725;1424
Donador4;-20.2336;-70.1447;1487;1176;1735;1078;1259;1198
Donador5;-20.2379;-70.1358;1289;1456;1598;1350;1345;1431
Donador6;-20.2256;-70.1469;1156;1273;1109;1111;1366;1659
Donador7;-20.2443;-70.1404;1452;1384;1320;1377;1075;1943
Donador8;-20.2285;-70.1392;1078;1642;1297;1229;1913;864
Donador9;-20.2350;-70.1284;1349;1255;1164;1575;1732;1342
Donador10;-20.2409;-70.1261;1492;1540;1525;1572;1680;1523
