NombreAgente;CantidadPoblacion;UbicacionLatitud;UbicacionLongitud;StockBotellas_0.5 lts;StockBotellas_1.0 lts;StockBotellas_1.6 lts;StockBotellas_2.0 lts;StockBotellas_2.250 lts;StockBotellas_20.0 lts
PuntoDistribucion1;200;-20.2381; -70.1494;0;0;0;0;0;0
PuntoDistribucion2;350;-20.2415; -70.1479;0;0;0;0;0;0
PuntoDistribucion3;150;-20.2309; -70.1483;0;0;0;0;0;0
PuntoDistribucion4;400;-20.2333; -70.1401;0;0;0;0;0;0
PuntoDistribucion5;300;-20.2447; -70.1417;0;0;0;0;0;0
PuntoDistribucion6;250;-20.2348; -70.1352;0;0;0;0;0;0
PuntoDistribucion7;180;-20.2377; -70.1446;0;0;0;0;0;0
PuntoDistribucion8;320;-20.2298; -70.1307;0;0;0;0;0;0
PuntoDistribucion9;420;-20.2260; -70.1272;0;0;0;0;0;0
PuntoDistribucion10;270;-20.2311; -70.1238;0;0;0;0;0;0
PuntoDistribucion11;230;-20.2465; -70.1344;0;0;0;0;0;0
PuntoDistribucion12;190;-20.2376; -70.1282;0;0;0;0;0;0
PuntoDistribucion13;380;-20.2284; -70.1440;0;0;0;0;0;0
PuntoDistribucion14;280;-20.2359; -70.1314;0;0;0;0;0;0
PuntoDistribucion15;310;-20.2402; -70.1269;0;0;0;0;0;0
PuntoDistribucion16;260;-20.2327; -70.1243;0;0;0;0;0;0
PuntoDistribucion17;200;-20.2265; -70.1480;0;0;0;0;0;0
PuntoDistribucion18;330;-20.2369; -70.1247;0;0;0;0;0;0
PuntoDistribucion19;170;-20.2283; -70.1364;0;0;0;0;0;0
PuntoDistribucion20;290;-20.2420; -70.1411;0;0;0;0;0;0
PuntoDistribucion21;240;-20.2343; -70.1372;0;0;0;0;0;0
PuntoDistribucion22;260;-20.2407; -70.1300;0;0;0;0;0;0
PuntoDistribucion23;350;-20.2451; -70.1427;0;0;0;0;0;0
PuntoDistribucion24;400;-20.2234; -70.1260;0;0;0;0;0;0
PuntoDistribucion25;300;-20.2222; -70.1438;0;0;0;0;0;0
