NombreAgente;UbicacionLatitud;UbicacionLongitud;7ton_3500kg;20ton_12000kg;trailer_24000kg;remolque_25000kg;megatrailer_24000kg
Transporte1;219;341;2;2;2;2;2
Transporte2;42;-95;2;2;2;2;2
Transporte3;184;-252;2;2;2;2;2
Transporte4;83;-298;2;2;2;2;2
Transporte5;-333;309;2;2;2;2;2
Transporte6;-333;309;2;2;2;2;2
Transporte7;-333;309;2;2;0;1;1
Transporte8;-333;309;2;2;0;1;1
Transporte9;-333;309;2;2;0;1;1
Transporte10;-333;309;2;2;0;1;1
Transporte11;-333;309;2;2;0;1;1
Transporte12;-333;309;2;2;0;1;1
Transporte13;-333;309;2;2;0;1;1
Transporte14;-333;309;2;2;0;1;1
Transporte15;-333;309;2;2;0;1;1
