horaInicioViajeCarga;tiempoViajeCarga;horaLlegadaViajeCarga;horaInicioCarga;tiempoCarga;horaFinCarga;horaInicioViajeDescarga;tiempoViajeDescarga;horaLlegadaViajeDescarga;horaInicioDescarga;tiempoDescarga;horaFinDescarga;pointNameSupplyActivityProposed;pointNameSupplyActivityRequired;pointNameSupplyActivityTransportation;ayudaRequerida;ayudaTransportada
0;593;593;593;400;993;993;540;1533;1533;200;1733;Donador2;PuntoDistribucion1;Transporte5_7ton_1;200;200
3600;593;4193;4193;120;4313;4313;540;4853;4853;60;4913;Donador2;PuntoDistribucion1;Transporte5_7ton_2;60;60
7200;593;7793;7793;120;7913;7913;540;8453;8453;60;8513;Donador2;PuntoDistribucion1;Transporte5_20ton_2;60;60
10800;593;11393;11393;120;11513;11513;540;12053;12053;60;12113;Donador2;PuntoDistribucion1;Transporte5_7ton_1;60;60
14400;593;14993;14993;120;15113;15113;540;15653;15653;60;15713;Donador2;PuntoDistribucion1;Transporte5_7ton_2;60;60
18000;593;18593;18593;120;18713;18713;540;19253;19253;60;19313;Donador2;PuntoDistribucion1;Transporte5_7ton_1;60;60
21600;593;22193;22193;120;22313;22313;540;22853;22853;60;22913;Donador2;PuntoDistribucion1;Transporte5_20ton_2;60;60
25200;593;25793;25793;120;25913;25913;540;26453;26453;60;26513;Donador2;PuntoDistribucion1;Transporte5_20ton_2;60;60
28800;593;29393;29393;120;29513;29513;540;30053;30053;60;30113;Donador2;PuntoDistribucion1;Transporte5_7ton_2;60;60
32400;593;32993;32993;120;33113;33113;540;33653;33653;60;33713;Donador2;PuntoDistribucion1;Transporte5_20ton_2;60;60
