idActivity;activityType;durationTime;quantityNegotiation;helpRequire
1950365727;NAME_ACTIVITY_REQUIRED;4.3860081E7;1;420
1950365727;NAME_ACTIVITY_PROPOSED;5.666875764E9;8;420
1950365727;NAME_ACTIVITY_TRANSPORTATION;3.8291523E7;35;420
1973641632;NAME_ACTIVITY_REQUIRED;4.3860081E7;1;380
1973641632;NAME_ACTIVITY_PROPOSED;5.172383842E9;8;380
1973641632;NAME_ACTIVITY_TRANSPORTATION;2.2865987E7;35;380
1607334500;NAME_ACTIVITY_REQUIRED;4.3860081E7;1;320
1607334500;NAME_ACTIVITY_PROPOSED;4.332845367E9;8;320
1607334500;NAME_ACTIVITY_TRANSPORTATION;1.9920523E7;35;320
1976207843;NAME_ACTIVITY_REQUIRED;4.3860081E7;1;310
1976207843;NAME_ACTIVITY_PROPOSED;4.182620975E9;8;310
1976207843;NAME_ACTIVITY_TRANSPORTATION;1.7096584E7;28;310
12568453;NAME_ACTIVITY_REQUIRED;4.3860081E7;1;290
12568453;NAME_ACTIVITY_PROPOSED;3.867121831E9;8;290
12568453;NAME_ACTIVITY_TRANSPORTATION;1.8876222E7;40;290
1853823059;NAME_ACTIVITY_REQUIRED;4.3860081E7;1;260
1853823059;NAME_ACTIVITY_PROPOSED;3.474148778E9;8;260
1853823059;NAME_ACTIVITY_TRANSPORTATION;1.6371806E7;34;260
1582416162;NAME_ACTIVITY_REQUIRED;4.3860081E7;1;250
1582416162;NAME_ACTIVITY_PROPOSED;3.298881092E9;8;250
1582416162;NAME_ACTIVITY_TRANSPORTATION;1.431649E7;26;250
2146815642;NAME_ACTIVITY_REQUIRED;4.3860081E7;1;240
2146815642;NAME_ACTIVITY_PROPOSED;3.126143748E9;8;240
2146815642;NAME_ACTIVITY_TRANSPORTATION;1.4789092E7;30;240
17349902;NAME_ACTIVITY_REQUIRED;4.3860081E7;1;180
17349902;NAME_ACTIVITY_PROPOSED;2.386653247E9;8;180
17349902;NAME_ACTIVITY_TRANSPORTATION;1.6018689E7;30;180
396595452;NAME_ACTIVITY_REQUIRED;4.3860081E7;1;150
396595452;NAME_ACTIVITY_PROPOSED;2.0143514E9;8;150
396595452;NAME_ACTIVITY_TRANSPORTATION;1.6482129E7;34;150
1202392059;NAME_ACTIVITY_REQUIRED;1226997.0;1;40
1202392059;NAME_ACTIVITY_PROPOSED;5.46449649E8;8;40
1202392059;NAME_ACTIVITY_TRANSPORTATION;1.2655756E7;31;40
377195658;NAME_ACTIVITY_REQUIRED;1240454.0;1;45
377195658;NAME_ACTIVITY_PROPOSED;5.99031369E8;8;45
377195658;NAME_ACTIVITY_TRANSPORTATION;1.2038085E7;34;45
1382003590;NAME_ACTIVITY_REQUIRED;1118105.0;1;60
1382003590;NAME_ACTIVITY_PROPOSED;7.90469934E8;8;60
1382003590;NAME_ACTIVITY_TRANSPORTATION;1.2208744E7;34;60
1508961601;NAME_ACTIVITY_REQUIRED;1071250.0;1;65
1508961601;NAME_ACTIVITY_PROPOSED;9.08836878E8;8;65
1508961601;NAME_ACTIVITY_TRANSPORTATION;1.244557E7;39;65
1184616791;NAME_ACTIVITY_REQUIRED;1071250.0;1;65
1184616791;NAME_ACTIVITY_PROPOSED;8.58784918E8;8;65
1184616791;NAME_ACTIVITY_TRANSPORTATION;1.0916527E7;31;65
214833874;NAME_ACTIVITY_REQUIRED;1043741.0;1;75
214833874;NAME_ACTIVITY_PROPOSED;9.99625906E8;8;75
214833874;NAME_ACTIVITY_TRANSPORTATION;1.0225515E7;33;75
597842766;NAME_ACTIVITY_REQUIRED;1043741.0;1;40
597842766;NAME_ACTIVITY_PROPOSED;5.42518042E8;8;40
597842766;NAME_ACTIVITY_TRANSPORTATION;1.0733177E7;36;40
2103849118;NAME_ACTIVITY_REQUIRED;979462.0;1;80
2103849118;NAME_ACTIVITY_PROPOSED;1.038146163E9;8;80
2103849118;NAME_ACTIVITY_TRANSPORTATION;1.0518228E7;31;80
1710184204;NAME_ACTIVITY_REQUIRED;979462.0;1;80
1710184204;NAME_ACTIVITY_PROPOSED;1.072507799E9;8;80
1710184204;NAME_ACTIVITY_TRANSPORTATION;1.1895875E7;42;80
428591593;NAME_ACTIVITY_REQUIRED;1060423.0;1;45
428591593;NAME_ACTIVITY_PROPOSED;6.15535075E8;8;45
428591593;NAME_ACTIVITY_TRANSPORTATION;1.1129198E7;34;45
675453373;NAME_ACTIVITY_REQUIRED;924859.0;1;95
675453373;NAME_ACTIVITY_PROPOSED;1.230355694E9;8;95
675453373;NAME_ACTIVITY_TRANSPORTATION;9276594.0;37;95
1684844267;NAME_ACTIVITY_REQUIRED;1153496.0;1;105
1684844267;NAME_ACTIVITY_PROPOSED;1.351959042E9;8;105
1684844267;NAME_ACTIVITY_TRANSPORTATION;1.0253016E7;38;105
2066006621;NAME_ACTIVITY_REQUIRED;794690.0;1;40
2066006621;NAME_ACTIVITY_PROPOSED;5.69688516E8;8;40
2066006621;NAME_ACTIVITY_TRANSPORTATION;8499134.0;33;40
1017612369;NAME_ACTIVITY_REQUIRED;1058533.0;1;60
1017612369;NAME_ACTIVITY_PROPOSED;7.98375716E8;8;60
1017612369;NAME_ACTIVITY_TRANSPORTATION;9740905.0;34;60
9728265;NAME_ACTIVITY_REQUIRED;1319124.0;1;65
9728265;NAME_ACTIVITY_PROPOSED;8.47522699E8;8;65
9728265;NAME_ACTIVITY_TRANSPORTATION;1.2347763E7;42;65
26119174;NAME_ACTIVITY_REQUIRED;1319124.0;1;65
26119174;NAME_ACTIVITY_PROPOSED;8.64537769E8;8;65
26119174;NAME_ACTIVITY_TRANSPORTATION;8641451.0;30;65
1558544448;NAME_ACTIVITY_REQUIRED;1319124.0;1;45
1558544448;NAME_ACTIVITY_PROPOSED;5.87388355E8;8;45
1558544448;NAME_ACTIVITY_TRANSPORTATION;1.0588402E7;34;45
1543536269;NAME_ACTIVITY_REQUIRED;953163.0;1;75
1543536269;NAME_ACTIVITY_PROPOSED;1.054183057E9;8;75
1543536269;NAME_ACTIVITY_TRANSPORTATION;1.0579589E7;29;75
2134851645;NAME_ACTIVITY_REQUIRED;1093077.0;1;40
2134851645;NAME_ACTIVITY_PROPOSED;5.47541463E8;8;40
2134851645;NAME_ACTIVITY_TRANSPORTATION;8563665.0;25;40
170134880;NAME_ACTIVITY_REQUIRED;986778.0;1;80
170134880;NAME_ACTIVITY_PROPOSED;1.062661226E9;8;80
170134880;NAME_ACTIVITY_TRANSPORTATION;9941551.0;30;80
2050190308;NAME_ACTIVITY_REQUIRED;986778.0;1;80
2050190308;NAME_ACTIVITY_PROPOSED;1.058878081E9;8;80
2050190308;NAME_ACTIVITY_TRANSPORTATION;9508561.0;30;80
622368313;NAME_ACTIVITY_REQUIRED;877347.0;1;45
622368313;NAME_ACTIVITY_PROPOSED;5.96670767E8;8;45
622368313;NAME_ACTIVITY_TRANSPORTATION;9627061.0;30;45
539165711;NAME_ACTIVITY_REQUIRED;1123890.0;1;60
539165711;NAME_ACTIVITY_PROPOSED;7.99709996E8;8;60
539165711;NAME_ACTIVITY_TRANSPORTATION;1.0021823E7;42;60
172376678;NAME_ACTIVITY_REQUIRED;1149574.0;1;95
172376678;NAME_ACTIVITY_PROPOSED;1.249041489E9;8;95
172376678;NAME_ACTIVITY_TRANSPORTATION;1.1707287E7;39;95
1800103041;NAME_ACTIVITY_REQUIRED;1149574.0;1;65
1800103041;NAME_ACTIVITY_PROPOSED;8.44078358E8;8;65
1800103041;NAME_ACTIVITY_TRANSPORTATION;1.0785889E7;37;65
168009359;NAME_ACTIVITY_REQUIRED;1149574.0;1;65
168009359;NAME_ACTIVITY_PROPOSED;8.67467422E8;8;65
168009359;NAME_ACTIVITY_TRANSPORTATION;9074386.0;24;65
842592444;NAME_ACTIVITY_REQUIRED;1149574.0;1;40
842592444;NAME_ACTIVITY_PROPOSED;5.77296578E8;8;40
842592444;NAME_ACTIVITY_TRANSPORTATION;1.0785368E7;28;40
173392367;NAME_ACTIVITY_REQUIRED;867590.0;1;105
173392367;NAME_ACTIVITY_PROPOSED;1.551403692E9;8;105
173392367;NAME_ACTIVITY_TRANSPORTATION;1.1807459E7;38;105
973787976;NAME_ACTIVITY_REQUIRED;1064634.0;1;45
