horaInicioViajeCarga;tiempoViajeCarga;horaLlegadaViajeCarga;horaInicioCarga;tiempoCarga;horaFinCarga;horaInicioViajeDescarga;tiempoViajeDescarga;horaLlegadaViajeDescarga;horaInicioDescarga;tiempoDescarga;horaFinDescarga;pointNameSupplyActivityProposed;pointNameSupplyActivityRequired;pointNameSupplyActivityTransportation;ayudaRequerida;ayudaTransportada;tiempoDuraciónConversacionRequerida (ms);tiempoDuraciónConversacionPropuesta (ms);tiempoDuraciónConversacionTransporte (ms);tiempoDuraciónConversacionTotal (ms);cantidadNegociacionesTotal
0;21;21;21;840;861;861;139;1000;1000;420;1420;Donador3;PuntoDistribucion9;Transporte6_20ton_1;420;420;4.3860081E7;5.666875764E9;3.8291523E7;5.749027368E9;44
0;21;21;21;760;781;781;88;869;869;380;1249;Donador3;PuntoDistribucion13;Transporte6_20ton_2;380;380;4.3860081E7;5.172383842E9;2.2865987E7;5.23910991E9;44
0;21;21;21;640;661;661;99;760;760;320;1080;Donador3;PuntoDistribucion8;Transporte6_7ton_2;320;320;4.3860081E7;4.332845367E9;1.9920523E7;4.396625971E9;44
0;50;50;50;620;670;670;192;862;862;310;1172;Donador1;PuntoDistribucion15;Transporte2_20ton_2;310;310;4.3860081E7;4.182620975E9;1.7096584E7;4.24357764E9;37
0;50;50;50;580;630;630;84;714;714;290;1004;Donador1;PuntoDistribucion20;Transporte2_7ton_1;290;290;4.3860081E7;3.867121831E9;1.8876222E7;3.929858134E9;49
0;50;50;50;520;570;570;224;794;794;260;1054;Donador1;PuntoDistribucion16;Transporte2_20ton_1;260;260;4.3860081E7;3.474148778E9;1.6371806E7;3.534380665E9;43
0;82;82;82;500;582;582;188;770;770;250;1020;Donador6;PuntoDistribucion6;Transporte3_trailer_1;250;250;4.3860081E7;3.298881092E9;1.431649E7;3.357057663E9;35
0;82;82;82;480;562;562;173;735;735;240;975;Donador6;PuntoDistribucion21;Transporte3_7ton_4;240;240;4.3860081E7;3.126143748E9;1.4789092E7;3.184792921E9;39
0;82;82;82;360;442;442;144;586;586;180;766;Donador6;PuntoDistribucion7;Transporte3_trailer_2;180;180;4.3860081E7;2.386653247E9;1.6018689E7;2.446532017E9;39
0;82;82;82;300;382;382;87;469;469;150;619;Donador6;PuntoDistribucion3;Transporte3_remolque_1;150;150;4.3860081E7;2.0143514E9;1.6482129E7;2.07469361E9;43
3000;50;3050;3050;80;3130;3130;96;3226;3226;40;3266;Donador1;PuntoDistribucion3;Transporte2_20ton_1;40;40;1226997.0;5.46449649E8;1.2655756E7;5.60332402E8;40
3300;50;3350;3350;90;3440;3440;69;3509;3509;45;3554;Donador1;PuntoDistribucion7;Transporte2_20ton_2;45;45;1240454.0;5.99031369E8;1.2038085E7;6.12309908E8;43
4500;82;4582;4582;120;4702;4702;173;4875;4875;60;4935;Donador6;PuntoDistribucion21;Transporte3_7ton_4;60;60;1118105.0;7.90469934E8;1.2208744E7;8.03796783E8;43
4800;82;4882;4882;130;5012;5012;260;5272;5272;65;5337;Donador6;PuntoDistribucion16;Transporte3_trailer_2;65;65;1071250.0;9.08836878E8;1.244557E7;9.22353698E8;48
4800;82;4882;4882;130;5012;5012;188;5200;5200;65;5265;Donador6;PuntoDistribucion6;Transporte3_trailer_1;65;65;1071250.0;8.58784918E8;1.0916527E7;8.70772695E8;40
5400;82;5482;5482;150;5632;5632;187;5819;5819;75;5894;Donador6;PuntoDistribucion20;Transporte3_trailer_3;75;75;1043741.0;9.99625906E8;1.0225515E7;1.010895162E9;42
5400;54;5454;5454;80;5534;5534;88;5622;5622;40;5662;Donador4;PuntoDistribucion3;Transporte6_20ton_1;40;40;1043741.0;5.42518042E8;1.0733177E7;5.5429496E8;45
5700;54;5754;5754;160;5914;5914;99;6013;6013;80;6093;Donador4;PuntoDistribucion8;Transporte6_20ton_2;80;80;979462.0;1.038146163E9;1.0518228E7;1.049643853E9;40
5700;54;5754;5754;160;5914;5914;98;6012;6012;80;6092;Donador4;PuntoDistribucion15;Transporte6_7ton_2;80;80;979462.0;1.072507799E9;1.1895875E7;1.085383136E9;51
6000;54;6054;6054;90;6144;6144;36;6180;6180;45;6225;Donador4;PuntoDistribucion7;Transporte6_20ton_4;45;45;1060423.0;6.15535075E8;1.1129198E7;6.27724696E8;43
6900;54;6954;6954;190;7144;7144;88;7232;7232;95;7327;Donador4;PuntoDistribucion13;Transporte6_20ton_1;95;95;924859.0;1.230355694E9;9276594.0;1.240557147E9;46
7500;54;7554;7554;210;7764;7764;139;7903;7903;105;8008;Donador4;PuntoDistribucion9;Transporte6_20ton_1;105;105;1153496.0;1.351959042E9;1.0253016E7;1.363365554E9;47
7800;54;7854;7854;80;7934;7934;88;8022;8022;40;8062;Donador4;PuntoDistribucion3;Transporte6_20ton_2;40;40;794690.0;5.69688516E8;8499134.0;5.7898234E8;42
8100;54;8154;8154;120;8274;8274;40;8314;8314;60;8374;Donador4;PuntoDistribucion21;Transporte6_20ton_4;60;60;1058533.0;7.98375716E8;9740905.0;8.09175154E8;43
8700;54;8754;8754;130;8884;8884;126;9010;9010;65;9075;Donador4;PuntoDistribucion16;Transporte6_20ton_2;65;65;1319124.0;8.47522699E8;1.2347763E7;8.61189586E8;51
8700;54;8754;8754;130;8884;8884;47;8931;8931;65;8996;Donador4;PuntoDistribucion6;Transporte6_trailer_1;65;65;1319124.0;8.64537769E8;8641451.0;8.74498344E8;39
8700;54;8754;8754;90;8844;8844;36;8880;8880;45;8925;Donador4;PuntoDistribucion7;Transporte6_20ton_1;45;45;1319124.0;5.87388355E8;1.0588402E7;5.99295881E8;43
9900;54;9954;9954;150;10104;10104;27;10131;10131;75;10206;Donador4;PuntoDistribucion20;Transporte6_7ton_2;75;75;953163.0;1.054183057E9;1.0579589E7;1.065715809E9;38
10200;54;10254;10254;80;10334;10334;88;10422;10422;40;10462;Donador4;PuntoDistribucion3;Transporte6_20ton_2;40;40;1093077.0;5.47541463E8;8563665.0;5.57198205E8;34
10500;54;10554;10554;160;10714;10714;99;10813;10813;80;10893;Donador4;PuntoDistribucion8;Transporte6_20ton_1;80;80;986778.0;1.062661226E9;9941551.0;1.073589555E9;39
10500;54;10554;10554;160;10714;10714;98;10812;10812;80;10892;Donador4;PuntoDistribucion15;Transporte6_7ton_2;80;80;986778.0;1.058878081E9;9508561.0;1.06937342E9;39
11400;54;11454;11454;90;11544;11544;36;11580;11580;45;11625;Donador4;PuntoDistribucion7;Transporte6_20ton_1;45;45;877347.0;5.96670767E8;9627061.0;6.07175175E8;39
11700;40;11740;11740;120;11860;11860;22;11882;11882;60;11942;Donador8;PuntoDistribucion21;Transporte4_20ton_1;60;60;1123890.0;7.99709996E8;1.0021823E7;8.10855709E8;51
12600;40;12640;12640;190;12830;12830;71;12901;12901;95;12996;Donador8;PuntoDistribucion13;Transporte4_20ton_2;95;95;1149574.0;1.249041489E9;1.1707287E7;1.26189835E9;48
12600;40;12640;12640;130;12770;12770;83;12853;12853;65;12918;Donador8;PuntoDistribucion16;Transporte4_remolque_1;65;65;1149574.0;8.44078358E8;1.0785889E7;8.56013821E8;46
12600;40;12640;12640;130;12770;12770;21;12791;12791;65;12856;Donador8;PuntoDistribucion6;Transporte4_20ton_1;65;65;1149574.0;8.67467422E8;9074386.0;8.77691382E8;33
12600;40;12640;12640;80;12720;12720;97;12817;12817;40;12857;Donador8;PuntoDistribucion3;Transporte4_trailer_2;40;40;1149574.0;5.77296578E8;1.0785368E7;5.8923152E8;37
13800;40;13840;13840;210;14050;14050;78;14128;14128;105;14233;Donador8;PuntoDistribucion9;Transporte4_20ton_1;105;105;867590.0;1.551403692E9;1.1807459E7;1.564078741E9;47
14100;40;14140;14140;90;14230;14230;82;14312;14312;45;14357;Donador8;PuntoDistribucion7;Transporte4_trailer_2;45;45;1064634.0;6.28611767E8;9422696.0;6.39099097E8;39
14400;40;14440;14440;150;14590;14590;90;14680;14680;75;14755;Donador8;PuntoDistribucion20;Transporte4_trailer_2;75;75;962869.0;1.090504279E9;1.0071409E7;1.101538557E9;38
15000;40;15040;15040;80;15120;15120;97;15217;15217;40;15257;Donador8;PuntoDistribucion3;Transporte4_20ton_1;40;40;965611.0;5.71239972E8;1.0529865E7;5.82735448E8;32
15300;40;15340;15340;160;15500;15500;39;15539;15539;80;15619;Donador8;PuntoDistribucion8;Transporte4_trailer_1;80;80;804337.0;1.087480317E9;8921600.0;1.097206254E9;46
15300;40;15340;15340;160;15500;15500;91;15591;15591;80;15671;Donador8;PuntoDistribucion15;Transporte4_trailer_2;80;80;804337.0;1.085546628E9;1.1367942E7;1.097718907E9;43
15300;40;15340;15340;120;15460;15460;22;15482;15482;60;15542;Donador8;PuntoDistribucion21;Transporte4_remolque_3;60;60;804337.0;8.3756727E8;1.1587619E7;8.49959226E8;40
16500;40;16540;16540;130;16670;16670;83;16753;16753;65;16818;Donador8;PuntoDistribucion16;Transporte4_remolque_2;65;65;737052.0;9.21533277E8;1.1455567E7;9.33725896E8;43
16500;40;16540;16540;130;16670;16670;21;16691;16691;65;16756;Donador8;PuntoDistribucion6;Transporte4_20ton_1;65;65;737052.0;1.05740523E9;1.0625778E7;1.06876806E9;43
16800;40;16840;16840;90;16930;16930;82;17012;17012;45;17057;Donador8;PuntoDistribucion7;Transporte4_20ton_1;45;45;923272.0;7.46713756E8;1.2515281E7;7.60152309E8;42
17400;40;17440;17440;80;17520;17520;97;17617;17617;40;17657;Donador8;PuntoDistribucion3;Transporte4_20ton_1;40;40;1251810.0;6.64114692E8;1.0794143E7;6.76160645E8;41
18300;31;18331;18331;190;18521;18521;88;18609;18609;95;18704;Donador5;PuntoDistribucion13;Transporte6_20ton_4;95;95;1332260.0;1.350579342E9;8865708.0;1.36077731E9;39
18900;31;18931;18931;150;19081;19081;27;19108;19108;75;19183;Donador5;PuntoDistribucion20;Transporte6_trailer_1;75;75;1153971.0;1.066695626E9;9882769.0;1.077732366E9;41
18900;31;18931;18931;120;19051;19051;40;19091;19091;60;19151;Donador5;PuntoDistribucion21;Transporte6_7ton_2;60;60;1153971.0;9.01569083E8;9779937.0;9.12502991E8;44
19500;40;19540;19540;90;19630;19630;82;19712;19712;45;19757;Donador8;PuntoDistribucion7;Transporte4_20ton_2;45;45;1163196.0;5.9421219E8;1.0206543E7;6.05581929E8;38
19800;31;19831;19831;80;19911;19911;88;19999;19999;40;20039;Donador5;PuntoDistribucion3;Transporte6_trailer_3;40;40;779969.0;5.3175954E8;7923516.0;5.40463025E8;33
20100;31;20131;20131;210;20341;20341;139;20480;20480;105;20585;Donador5;PuntoDistribucion9;Transporte6_20ton_1;105;105;970862.0;1.377077056E9;8792861.0;1.386840779E9;35
20100;31;20131;20131;160;20291;20291;99;20390;20390;80;20470;Donador5;PuntoDistribucion8;Transporte6_20ton_4;80;80;970862.0;1.080825781E9;1.0785651E7;1.092582294E9;43
20100;31;20131;20131;160;20291;20291;98;20389;20389;80;20469;Donador5;PuntoDistribucion15;Transporte6_20ton_2;80;80;970862.0;1.077271708E9;9967317.0;1.088209887E9;40
20400;31;20431;20431;130;20561;20561;126;20687;20687;65;20752;Donador5;PuntoDistribucion16;Transporte6_trailer_3;65;65;886764.0;8.44781951E8;8977181.0;8.54645896E8;41
20400;31;20431;20431;130;20561;20561;47;20608;20608;65;20673;Donador5;PuntoDistribucion6;Transporte6_trailer_1;65;65;886764.0;8.50872727E8;1.1976692E7;8.63736183E8;47
22200;31;22231;22231;90;22321;22321;36;22357;22357;45;22402;Donador5;PuntoDistribucion7;Transporte6_megatrailer_2;45;45;838072.0;6.01789058E8;9071962.0;6.11699092E8;37
22200;31;22231;22231;80;22311;22311;88;22399;22399;40;22439;Donador5;PuntoDistribucion3;Transporte6_20ton_1;40;40;838072.0;5.12164167E8;7499686.0;5.20501925E8;33
22500;31;22531;22531;120;22651;22651;40;22691;22691;60;22751;Donador5;PuntoDistribucion21;Transporte6_20ton_1;60;60;939437.0;8.06738052E8;8932005.0;8.16609494E8;36
23400;31;23431;23431;150;23581;23581;27;23608;23608;75;23683;Donador5;PuntoDistribucion20;Transporte6_20ton_1;75;75;2153200.0;9.58480202E8;1.122941E7;9.71862812E8;47
24000;31;24031;24031;190;24221;24221;88;24309;24309;95;24404;Donador5;PuntoDistribucion13;Transporte6_20ton_1;95;95;1040919.0;1.213029801E9;1.0691719E7;1.224762439E9;44
24300;31;24331;24331;130;24461;24461;126;24587;24587;65;24652;Donador5;PuntoDistribucion16;Transporte6_7ton_2;65;65;1252537.0;8.41079416E8;8909100.0;8.51241053E8;37
24300;31;24331;24331;130;24461;24461;47;24508;24508;65;24573;Donador5;PuntoDistribucion6;Transporte6_20ton_2;65;65;1252537.0;8.42438687E8;8877791.0;8.52569015E8;40
24600;31;24631;24631;80;24711;24711;88;24799;24799;40;24839;Donador5;PuntoDistribucion3;Transporte6_20ton_1;40;40;824587.0;5.17398225E8;1.1588719E7;5.29811531E8;39
24900;31;24931;24931;160;25091;25091;99;25190;25190;80;25270;Donador5;PuntoDistribucion8;Transporte6_trailer_3;80;80;925168.0;1.014258734E9;9857126.0;1.025041028E9;47
24900;44;24944;24944;160;25104;25104;98;25202;25202;80;25282;Donador7;PuntoDistribucion15;Transporte6_20ton_2;80;80;925168.0;1.035272469E9;1.0430795E7;1.046628432E9;44
24900;31;24931;24931;90;25021;25021;36;25057;25057;45;25102;Donador5;PuntoDistribucion7;Transporte6_remolque_2;45;45;925168.0;5.80604922E8;8898467.0;5.90428557E8;39
26100;44;26144;26144;120;26264;26264;40;26304;26304;60;26364;Donador7;PuntoDistribucion21;Transporte6_20ton_2;60;60;1009061.0;7.8006345E8;8054525.0;7.89127036E8;41
26400;44;26444;26444;210;26654;26654;139;26793;26793;105;26898;Donador7;PuntoDistribucion9;Transporte6_20ton_4;105;105;1147146.0;1.3355062E9;9102012.0;1.345755358E9;38
27000;44;27044;27044;80;27124;27124;88;27212;27212;40;27252;Donador7;PuntoDistribucion3;Transporte6_7ton_2;40;40;1205619.0;5.20243747E8;1.0039407E7;5.31488773E8;43
27600;44;27644;27644;90;27734;27734;36;27770;27770;45;27815;Donador7;PuntoDistribucion7;Transporte6_7ton_2;45;45;1244649.0;5.95489051E8;1.2107759E7;6.08841459E8;46
27900;44;27944;27944;150;28094;28094;27;28121;28121;75;28196;Donador7;PuntoDistribucion20;Transporte6_20ton_2;75;75;1272327.0;9.41622508E8;8339577.0;9.51234412E8;37
28200;44;28244;28244;130;28374;28374;126;28500;28500;65;28565;Donador7;PuntoDistribucion16;Transporte6_20ton_1;65;65;1430077.0;8.58344433E8;8609524.0;8.68384034E8;35
28200;44;28244;28244;130;28374;28374;47;28421;28421;65;28486;Donador7;PuntoDistribucion6;Transporte6_20ton_4;65;65;1430077.0;8.34821141E8;1.0470229E7;8.46721447E8;48
29400;44;29444;29444;80;29524;29524;88;29612;29612;40;29652;Donador7;PuntoDistribucion3;Transporte6_7ton_2;40;40;1091878.0;5.13419885E8;1.0233601E7;5.24745364E8;44
29700;44;29744;29744;190;29934;29934;88;30022;30022;95;30117;Donador7;PuntoDistribucion13;Transporte6_7ton_2;95;95;1171489.0;1.212338142E9;1.1987154E7;1.225496785E9;46
29700;44;29744;29744;160;29904;29904;99;30003;30003;80;30083;Donador7;PuntoDistribucion8;Transporte6_trailer_1;80;80;1171489.0;1.039726792E9;7942400.0;1.048840681E9;35
29700;44;29744;29744;160;29904;29904;98;30002;30002;80;30082;Donador7;PuntoDistribucion15;Transporte6_20ton_1;80;80;1171489.0;1.041548946E9;8984689.0;1.051705124E9;43
29700;44;29744;29744;120;29864;29864;40;29904;29904;60;29964;Donador7;PuntoDistribucion21;Transporte6_20ton_2;60;60;1171489.0;7.73015144E8;1.0437382E7;7.84624015E8;42
