idActivity;activityType;durationTime;quantityNegotiation
1075838464;NAME_ACTIVITY_REQUIRED;1606568.0;1
1075838464;NAME_ACTIVITY_PROPOSED;3.752205923E9;7
1075838464;NAME_ACTIVITY_TRANSPORTATION;9715063.0;34
423200197;NAME_ACTIVITY_REQUIRED;1606568.0;1
423200197;NAME_ACTIVITY_PROPOSED;3.693001789E9;7
423200197;NAME_ACTIVITY_TRANSPORTATION;8232491.0;33
594614846;NAME_ACTIVITY_REQUIRED;1606568.0;1
594614846;NAME_ACTIVITY_PROPOSED;3.144952457E9;7
594614846;NAME_ACTIVITY_TRANSPORTATION;8625172.0;30
1567840617;NAME_ACTIVITY_REQUIRED;1606568.0;1
1567840617;NAME_ACTIVITY_PROPOSED;3.096009241E9;7
1567840617;NAME_ACTIVITY_TRANSPORTATION;8539731.0;33
1646482233;NAME_ACTIVITY_REQUIRED;1606568.0;1
1646482233;NAME_ACTIVITY_PROPOSED;2.895245949E9;7
1646482233;NAME_ACTIVITY_TRANSPORTATION;7706542.0;27
937551125;NAME_ACTIVITY_REQUIRED;1606568.0;1
937551125;NAME_ACTIVITY_PROPOSED;2.827958057E9;7
937551125;NAME_ACTIVITY_TRANSPORTATION;8703483.0;36
476756285;NAME_ACTIVITY_REQUIRED;1606568.0;1
476756285;NAME_ACTIVITY_PROPOSED;2.808775575E9;7
476756285;NAME_ACTIVITY_TRANSPORTATION;1.2063658E7;38
1536492488;NAME_ACTIVITY_REQUIRED;1606568.0;1
1536492488;NAME_ACTIVITY_PROPOSED;2.796304548E9;7
1536492488;NAME_ACTIVITY_TRANSPORTATION;9250501.0;32
592918808;NAME_ACTIVITY_REQUIRED;1606568.0;1
592918808;NAME_ACTIVITY_PROPOSED;2.455162683E9;7
592918808;NAME_ACTIVITY_TRANSPORTATION;7449527.0;27
455518506;NAME_ACTIVITY_REQUIRED;1606568.0;1
455518506;NAME_ACTIVITY_PROPOSED;2.314560964E9;7
455518506;NAME_ACTIVITY_TRANSPORTATION;8178777.0;30
1380735010;NAME_ACTIVITY_REQUIRED;1606568.0;1
1380735010;NAME_ACTIVITY_PROPOSED;2.246394083E9;7
1380735010;NAME_ACTIVITY_TRANSPORTATION;8481930.0;32
565480160;NAME_ACTIVITY_REQUIRED;1606568.0;1
565480160;NAME_ACTIVITY_PROPOSED;2.331509765E9;7
565480160;NAME_ACTIVITY_TRANSPORTATION;8467738.0;26
993130551;NAME_ACTIVITY_REQUIRED;1606568.0;1
993130551;NAME_ACTIVITY_PROPOSED;1.890498414E9;7
993130551;NAME_ACTIVITY_TRANSPORTATION;7630858.0;31
359692674;NAME_ACTIVITY_REQUIRED;1606568.0;1
359692674;NAME_ACTIVITY_PROPOSED;1.802207819E9;7
359692674;NAME_ACTIVITY_TRANSPORTATION;6312097.0;23
625847878;NAME_ACTIVITY_REQUIRED;1606568.0;1
625847878;NAME_ACTIVITY_PROPOSED;1.629615811E9;7
625847878;NAME_ACTIVITY_TRANSPORTATION;7853988.0;27
548127621;NAME_ACTIVITY_REQUIRED;1099747.0;1
548127621;NAME_ACTIVITY_PROPOSED;3.732529436E9;7
548127621;NAME_ACTIVITY_TRANSPORTATION;8917749.0;29
342849511;NAME_ACTIVITY_REQUIRED;1099747.0;1
342849511;NAME_ACTIVITY_PROPOSED;3.389179088E9;7
342849511;NAME_ACTIVITY_TRANSPORTATION;8505053.0;29
46506113;NAME_ACTIVITY_REQUIRED;1099747.0;1
46506113;NAME_ACTIVITY_PROPOSED;3.122210571E9;7
46506113;NAME_ACTIVITY_TRANSPORTATION;8410244.0;29
1253179649;NAME_ACTIVITY_REQUIRED;1099747.0;1
1253179649;NAME_ACTIVITY_PROPOSED;2.962645595E9;7
1253179649;NAME_ACTIVITY_TRANSPORTATION;6995868.0;22
880497721;NAME_ACTIVITY_REQUIRED;1099747.0;1
880497721;NAME_ACTIVITY_PROPOSED;2.85907919E9;7
880497721;NAME_ACTIVITY_TRANSPORTATION;1.0006518E7;24
1539624222;NAME_ACTIVITY_REQUIRED;1099747.0;1
1539624222;NAME_ACTIVITY_PROPOSED;2.837700222E9;7
1539624222;NAME_ACTIVITY_TRANSPORTATION;1.4059191E7;34
1948954447;NAME_ACTIVITY_REQUIRED;1099747.0;1
1948954447;NAME_ACTIVITY_PROPOSED;2.490859148E9;7
1948954447;NAME_ACTIVITY_TRANSPORTATION;6749226.0;24
776606402;NAME_ACTIVITY_REQUIRED;1099747.0;1
776606402;NAME_ACTIVITY_PROPOSED;2.522808801E9;7
776606402;NAME_ACTIVITY_TRANSPORTATION;7731233.0;26
1082016174;NAME_ACTIVITY_REQUIRED;1099747.0;1
1082016174;NAME_ACTIVITY_PROPOSED;1.94389872E9;7
1082016174;NAME_ACTIVITY_TRANSPORTATION;7368220.0;23
1034934402;NAME_ACTIVITY_REQUIRED;1099747.0;1
1034934402;NAME_ACTIVITY_PROPOSED;1.814287531E9;7
1034934402;NAME_ACTIVITY_TRANSPORTATION;9369373.0;27
484333743;NAME_ACTIVITY_REQUIRED;1099747.0;1
484333743;NAME_ACTIVITY_PROPOSED;1.649694905E9;7
484333743;NAME_ACTIVITY_TRANSPORTATION;7565356.0;23
1660716532;NAME_ACTIVITY_REQUIRED;1099747.0;1
1660716532;NAME_ACTIVITY_PROPOSED;1.622714353E9;7
1660716532;NAME_ACTIVITY_TRANSPORTATION;7889714.0;24
1346231092;NAME_ACTIVITY_REQUIRED;1099747.0;1
1346231092;NAME_ACTIVITY_PROPOSED;1.352326393E9;7
1346231092;NAME_ACTIVITY_TRANSPORTATION;7224690.0;25
320172665;NAME_ACTIVITY_REQUIRED;1099747.0;1
320172665;NAME_ACTIVITY_PROPOSED;1.095038623E9;7
320172665;NAME_ACTIVITY_TRANSPORTATION;7298296.0;25
2111851412;NAME_ACTIVITY_REQUIRED;1099747.0;1
2111851412;NAME_ACTIVITY_PROPOSED;1.03226773E9;6
2111851412;NAME_ACTIVITY_TRANSPORTATION;6729071.0;26
2067112697;NAME_ACTIVITY_REQUIRED;851804.0;1
2067112697;NAME_ACTIVITY_PROPOSED;3.18365588E8;5
2067112697;NAME_ACTIVITY_TRANSPORTATION;1.1652767E7;36
1164911312;NAME_ACTIVITY_REQUIRED;936084.0;1
1164911312;NAME_ACTIVITY_PROPOSED;2.82405284E8;5
1164911312;NAME_ACTIVITY_TRANSPORTATION;9502107.0;30
2102466238;NAME_ACTIVITY_REQUIRED;986957.0;1
2102466238;NAME_ACTIVITY_PROPOSED;3.11044693E8;5
2102466238;NAME_ACTIVITY_TRANSPORTATION;7814480.0;32
34758251;NAME_ACTIVITY_REQUIRED;1091821.0;1
34758251;NAME_ACTIVITY_PROPOSED;3.72477258E8;5
34758251;NAME_ACTIVITY_TRANSPORTATION;8488101.0;37
1415976634;NAME_ACTIVITY_REQUIRED;1273599.0;1
1415976634;NAME_ACTIVITY_PROPOSED;1.91694344E8;4
1415976634;NAME_ACTIVITY_TRANSPORTATION;9218462.0;31
1747175236;NAME_ACTIVITY_REQUIRED;1273599.0;1
1747175236;NAME_ACTIVITY_PROPOSED;6.5304921E7;3
1747175236;NAME_ACTIVITY_TRANSPORTATION;9829388.0;27
498255896;NAME_ACTIVITY_REQUIRED;1273599.0;1
498255896;NAME_ACTIVITY_PROPOSED;4.8766759E7;2
498255896;NAME_ACTIVITY_TRANSPORTATION;7273004.0;26
230894787;NAME_ACTIVITY_REQUIRED;885718.0;1
230894787;NAME_ACTIVITY_PROPOSED;2.1446228E7;1
230894787;NAME_ACTIVITY_TRANSPORTATION;9685139.0;38
