horaInicioViajeCarga;tiempoViajeCarga;horaLlegadaViajeCarga;horaInicioCarga;tiempoCarga;horaFinCarga;horaInicioViajeDescarga;tiempoViajeDescarga;horaLlegadaViajeDescarga;horaInicioDescarga;tiempoDescarga;horaFinDescarga;pointNameSupplyActivityProposed;pointNameSupplyActivityRequired;pointNameSupplyActivityTransportation;ayudaRequerida;ayudaTransportada;tiempoDuraciónConversacionRequerida (ms);tiempoDuraciónConversacionPropuesta (ms);tiempoDuraciónConversacionTransporte (ms);tiempoDuraciónConversacionTotal (ms);cantidadNegociacionesTotal
0;21;21;21;840;861;861;139;1000;1000;420;1420;Donador3;PuntoDistribucion9;Transporte6_7ton_1;420;420;1606568.0;3.752205923E9;9715063.0;3.763527554E9;42
0;21;21;21;760;781;781;88;869;869;380;1249;Donador3;PuntoDistribucion13;Transporte6_20ton_4;380;380;1606568.0;3.693001789E9;8232491.0;3.702840848E9;41
0;115;115;115;700;815;815;260;1075;1075;350;1425;Donador6;PuntoDistribucion23;Transporte5_7ton_1;350;350;1606568.0;3.144952457E9;8625172.0;3.155184197E9;38
0;115;115;115;660;775;775;227;1002;1002;330;1332;Donador6;PuntoDistribucion18;Transporte5_7ton_1;330;330;1606568.0;3.096009241E9;8539731.0;3.10615554E9;41
0;21;21;21;640;661;661;99;760;760;320;1080;Donador3;PuntoDistribucion8;Transporte6_20ton_1;320;320;1606568.0;2.895245949E9;7706542.0;2.904559059E9;35
0;115;115;115;620;735;735;242;977;977;310;1287;Donador6;PuntoDistribucion15;Transporte5_20ton_2;310;310;1606568.0;2.827958057E9;8703483.0;2.838268108E9;44
0;72;72;72;600;672;672;49;721;721;300;1021;Donador2;PuntoDistribucion5;Transporte6_7ton_1;300;300;1606568.0;2.808775575E9;1.2063658E7;2.822445801E9;46
0;72;72;72;600;672;672;135;807;807;300;1107;Donador2;PuntoDistribucion25;Transporte6_7ton_2;300;300;1606568.0;2.796304548E9;9250501.0;2.807161617E9;40
0;72;72;72;560;632;632;67;699;699;280;979;Donador2;PuntoDistribucion14;Transporte6_20ton_1;280;280;1606568.0;2.455162683E9;7449527.0;2.464218778E9;35
0;54;54;54;520;574;574;126;700;700;260;960;Donador4;PuntoDistribucion16;Transporte6_remolque_1;260;260;1606568.0;2.314560964E9;8178777.0;2.324346309E9;38
0;54;54;54;520;574;574;76;650;650;260;910;Donador4;PuntoDistribucion22;Transporte6_7ton_3;260;260;1606568.0;2.246394083E9;8481930.0;2.256482581E9;40
0;54;54;54;500;554;554;47;601;601;250;851;Donador4;PuntoDistribucion6;Transporte6_20ton_4;250;250;1606568.0;2.331509765E9;8467738.0;2.341584071E9;34
0;54;54;54;400;454;454;71;525;525;200;725;Donador4;PuntoDistribucion1;Transporte6_remolque_1;200;200;1606568.0;1.890498414E9;7630858.0;1.89973584E9;39
0;91;91;91;400;491;491;115;606;606;200;806;Donador9;PuntoDistribucion17;Transporte6_remolque_3;200;200;1606568.0;1.802207819E9;6312097.0;1.810126484E9;31
0;91;91;91;360;451;451;36;487;487;180;667;Donador9;PuntoDistribucion7;Transporte6_7ton_3;180;180;1606568.0;1.629615811E9;7853988.0;1.639076367E9;35
300;91;391;391;840;1231;1231;139;1370;1370;420;1790;Donador9;PuntoDistribucion9;Transporte6_7ton_2;420;420;1099747.0;3.732529436E9;8917749.0;3.742546932E9;37
300;91;391;391;760;1151;1151;88;1239;1239;380;1619;Donador9;PuntoDistribucion13;Transporte6_remolque_4;380;380;1099747.0;3.389179088E9;8505053.0;3.398783888E9;37
300;31;331;331;700;1031;1031;55;1086;1086;350;1436;Donador5;PuntoDistribucion23;Transporte6_trailer_2;350;350;1099747.0;3.122210571E9;8410244.0;3.131720562E9;37
300;31;331;331;660;991;991;115;1106;1106;330;1436;Donador5;PuntoDistribucion18;Transporte6_remolque_2;330;330;1099747.0;2.962645595E9;6995868.0;2.97074121E9;30
300;31;331;331;640;971;971;99;1070;1070;320;1390;Donador5;PuntoDistribucion8;Transporte6_trailer_2;320;320;1099747.0;2.85907919E9;1.0006518E7;2.870185455E9;32
300;44;344;344;620;964;964;98;1062;1062;310;1372;Donador7;PuntoDistribucion15;Transporte6_remolque_2;310;310;1099747.0;2.837700222E9;1.4059191E7;2.85285916E9;42
300;44;344;344;600;944;944;49;993;993;300;1293;Donador7;PuntoDistribucion5;Transporte6_remolque_4;300;300;1099747.0;2.490859148E9;6749226.0;2.498708121E9;32
300;44;344;344;600;944;944;135;1079;1079;300;1379;Donador7;PuntoDistribucion25;Transporte6_remolque_5;300;300;1099747.0;2.522808801E9;7731233.0;2.531639781E9;34
300;31;331;331;560;891;891;67;958;958;280;1238;Donador5;PuntoDistribucion14;Transporte6_remolque_5;280;280;1099747.0;1.94389872E9;7368220.0;1.952366687E9;31
300;202;502;502;520;1022;1022;118;1140;1140;260;1400;Donador7;PuntoDistribucion16;Transporte1_remolque_2;260;260;1099747.0;1.814287531E9;9369373.0;1.824756651E9;35
300;141;441;441;518;959;959;165;1124;1124;259;1383;Donador4;PuntoDistribucion22;Transporte1_7ton_3;260;259;1099747.0;1.649694905E9;7565356.0;1.658360008E9;31
300;54;354;354;500;854;854;47;901;901;250;1151;Donador4;PuntoDistribucion6;Transporte6_remolque_3;250;250;1099747.0;1.622714353E9;7889714.0;1.631703814E9;32
300;202;502;502;400;902;902;192;1094;1094;200;1294;Donador7;PuntoDistribucion1;Transporte1_remolque_3;200;200;1099747.0;1.352326393E9;7224690.0;1.36065083E9;33
300;123;423;423;336;759;759;127;886;886;168;1054;Donador9;PuntoDistribucion17;Transporte1_7ton_3;200;168;1099747.0;1.095038623E9;7298296.0;1.103436666E9;33
300;115;415;415;330;745;745;203;948;948;165;1113;Donador6;PuntoDistribucion7;Transporte5_megatrailer_2;180;165;1099747.0;1.03226773E9;6729071.0;1.040096548E9;33
2100;44;2144;2144;102;2246;2246;115;2361;2361;51;2412;Donador7;PuntoDistribucion17;Transporte6_7ton_1;52;51;851804.0;3.18365588E8;1.1652767E7;3.30870159E8;42
2700;72;2772;2772;90;2862;2862;36;2898;2898;45;2943;Donador2;PuntoDistribucion7;Transporte6_7ton_3;45;45;936084.0;2.82405284E8;9502107.0;2.92843475E8;36
4200;72;4272;4272;100;4372;4372;71;4443;4443;50;4493;Donador2;PuntoDistribucion1;Transporte6_7ton_2;50;50;986957.0;3.11044693E8;7814480.0;3.1984613E8;38
