idActivity;activityType;durationTime;quantityNegotiation
255965446;NAME_ACTIVITY_REQUIRED;1153572.0;1
255965446;NAME_ACTIVITY_PROPOSED;3.765611681E9;3
255965446;NAME_ACTIVITY_TRANSPORTATION;1669429.0;7
1759685640;NAME_ACTIVITY_REQUIRED;1153572.0;1
1759685640;NAME_ACTIVITY_PROPOSED;3.599102215E9;3
1759685640;NAME_ACTIVITY_TRANSPORTATION;1763742.0;7
2038024921;NAME_ACTIVITY_REQUIRED;1153572.0;1
2038024921;NAME_ACTIVITY_PROPOSED;3.572927505E9;3
2038024921;NAME_ACTIVITY_TRANSPORTATION;2110145.0;6
2066263803;NAME_ACTIVITY_REQUIRED;1153572.0;1
2066263803;NAME_ACTIVITY_PROPOSED;3.422011127E9;3
2066263803;NAME_ACTIVITY_TRANSPORTATION;1559118.0;6
2040770833;NAME_ACTIVITY_REQUIRED;1153572.0;1
2040770833;NAME_ACTIVITY_PROPOSED;3.348716388E9;3
2040770833;NAME_ACTIVITY_TRANSPORTATION;3064921.0;10
73187521;NAME_ACTIVITY_REQUIRED;1153572.0;1
73187521;NAME_ACTIVITY_PROPOSED;2.878055357E9;3
73187521;NAME_ACTIVITY_TRANSPORTATION;1438472.0;5
868547985;NAME_ACTIVITY_REQUIRED;1153572.0;1
868547985;NAME_ACTIVITY_PROPOSED;2.664554287E9;3
868547985;NAME_ACTIVITY_TRANSPORTATION;3059330.0;8
220582500;NAME_ACTIVITY_REQUIRED;1153572.0;1
220582500;NAME_ACTIVITY_PROPOSED;2.25144731E9;3
220582500;NAME_ACTIVITY_TRANSPORTATION;1760946.0;5
1776996840;NAME_ACTIVITY_REQUIRED;1153572.0;1
1776996840;NAME_ACTIVITY_PROPOSED;1.824296865E9;3
1776996840;NAME_ACTIVITY_TRANSPORTATION;1971078.0;6
198332124;NAME_ACTIVITY_REQUIRED;1153572.0;1
198332124;NAME_ACTIVITY_PROPOSED;1.523300351E9;3
198332124;NAME_ACTIVITY_TRANSPORTATION;1810363.0;6
535695938;NAME_ACTIVITY_REQUIRED;1153572.0;1
535695938;NAME_ACTIVITY_PROPOSED;9.20529808E8;2
535695938;NAME_ACTIVITY_TRANSPORTATION;1637494.0;7
1023104297;NAME_ACTIVITY_REQUIRED;1153572.0;1
1023104297;NAME_ACTIVITY_PROPOSED;1.45402732E8;1
1023104297;NAME_ACTIVITY_TRANSPORTATION;1520873.0;6
