horaInicioViajeCarga;tiempoViajeCarga;horaLlegadaViajeCarga;horaInicioCarga;tiempoCarga;horaFinCarga;horaInicioViajeDescarga;tiempoViajeDescarga;horaLlegadaViajeDescarga;horaInicioDescarga;tiempoDescarga;horaFinDescarga;pointNameSupplyActivityProposed;pointNameSupplyActivityRequired;pointNameSupplyActivityTransportation;ayudaRequerida;ayudaTransportada;tiempoDuraciónConversacionRequerida (ms);tiempoDuraciónConversacionPropuesta (ms);tiempoDuraciónConversacionTransporte (ms);tiempoDuraciónConversacionTotal (ms);cantidadNegociacionesTotal
0;100;100;100;840;940;940;78;1018;1018;420;1438;Donador6;PuntoDistribucion9;Transporte4_trailer_1;420;420;1153572.0;3.765611681E9;1669429.0;3.768434682E9;11
0;100;100;100;800;900;900;36;936;936;400;1336;Donador6;PuntoDistribucion4;Transporte4_20ton_2;400;400;1153572.0;3.599102215E9;1763742.0;3.602019529E9;11
0;49;49;49;800;849;849;99;948;948;400;1348;Donador2;PuntoDistribucion24;Transporte4_trailer_2;400;400;1153572.0;3.572927505E9;2110145.0;3.576191222E9;10
0;49;49;49;760;809;809;71;880;880;380;1260;Donador2;PuntoDistribucion13;Transporte4_remolque_4;380;380;1153572.0;3.422011127E9;1559118.0;3.424723817E9;10
0;99;99;99;700;799;799;120;919;919;350;1269;Donador10;PuntoDistribucion2;Transporte4_trailer_1;350;350;1153572.0;3.348716388E9;3064921.0;3.352934881E9;14
0;99;99;99;700;799;799;117;916;916;350;1266;Donador10;PuntoDistribucion23;Transporte4_20ton_2;350;350;1153572.0;2.878055357E9;1438472.0;2.880647401E9;9
0;99;99;99;660;759;759;89;848;848;330;1178;Donador10;PuntoDistribucion18;Transporte4_20ton_1;330;330;1153572.0;2.664554287E9;3059330.0;2.668767189E9;12
0;99;99;99;640;739;739;39;778;778;320;1098;Donador10;PuntoDistribucion8;Transporte4_trailer_3;320;320;1153572.0;2.25144731E9;1760946.0;2.254361828E9;9
0;100;100;100;618;718;718;91;809;809;309;1118;Donador6;PuntoDistribucion15;Transporte4_20ton_1;310;309;1153572.0;1.824296865E9;1971078.0;1.827421515E9;10
0;49;49;49;510;559;559;111;670;670;255;925;Donador2;PuntoDistribucion5;Transporte4_trailer_5;300;255;1153572.0;1.523300351E9;1810363.0;1.526264286E9;10
0;99;99;99;282;381;381;101;482;482;141;623;Donador10;PuntoDistribucion25;Transporte4_trailer_3;300;141;1153572.0;9.20529808E8;1637494.0;9.23320874E8;10
0;100;100;100;50;150;150;90;240;240;25;265;Donador6;PuntoDistribucion20;Transporte4_trailer_5;290;25;1153572.0;1.45402732E8;1520873.0;1.48077177E8;8
