idActivity;activityType;durationTime;quantityNegotiation
1922503248;NAME_ACTIVITY_REQUIRED;859799.0;1
1922503248;NAME_ACTIVITY_PROPOSED;4.07436447E9;6
1922503248;NAME_ACTIVITY_TRANSPORTATION;7205346.0;24
1580246932;NAME_ACTIVITY_REQUIRED;859799.0;1
1580246932;NAME_ACTIVITY_PROPOSED;3.998600447E9;6
1580246932;NAME_ACTIVITY_TRANSPORTATION;6032995.0;25
1402939053;NAME_ACTIVITY_REQUIRED;859799.0;1
1402939053;NAME_ACTIVITY_PROPOSED;4.27153689E9;6
1402939053;NAME_ACTIVITY_TRANSPORTATION;5485821.0;18
667590252;NAME_ACTIVITY_REQUIRED;859799.0;1
667590252;NAME_ACTIVITY_PROPOSED;3.837021938E9;6
667590252;NAME_ACTIVITY_TRANSPORTATION;7231718.0;23
1837440343;NAME_ACTIVITY_REQUIRED;859799.0;1
1837440343;NAME_ACTIVITY_PROPOSED;3.623116599E9;6
1837440343;NAME_ACTIVITY_TRANSPORTATION;8249041.0;28
911346548;NAME_ACTIVITY_REQUIRED;859799.0;1
911346548;NAME_ACTIVITY_PROPOSED;3.385425956E9;6
911346548;NAME_ACTIVITY_TRANSPORTATION;6662884.0;24
475195741;NAME_ACTIVITY_REQUIRED;859799.0;1
475195741;NAME_ACTIVITY_PROPOSED;2.969765319E9;6
475195741;NAME_ACTIVITY_TRANSPORTATION;6235286.0;28
1872248133;NAME_ACTIVITY_REQUIRED;859799.0;1
1872248133;NAME_ACTIVITY_PROPOSED;2.935169152E9;6
1872248133;NAME_ACTIVITY_TRANSPORTATION;4816047.0;17
707983940;NAME_ACTIVITY_REQUIRED;859799.0;1
707983940;NAME_ACTIVITY_PROPOSED;2.779840259E9;6
707983940;NAME_ACTIVITY_TRANSPORTATION;6880192.0;25
211635677;NAME_ACTIVITY_REQUIRED;859799.0;1
211635677;NAME_ACTIVITY_PROPOSED;2.761069221E9;6
211635677;NAME_ACTIVITY_TRANSPORTATION;5365333.0;22
126768402;NAME_ACTIVITY_REQUIRED;859799.0;1
126768402;NAME_ACTIVITY_PROPOSED;2.67719156E9;6
126768402;NAME_ACTIVITY_TRANSPORTATION;7252537.0;23
693252787;NAME_ACTIVITY_REQUIRED;859799.0;1
693252787;NAME_ACTIVITY_PROPOSED;2.568857092E9;6
693252787;NAME_ACTIVITY_TRANSPORTATION;5403939.0;18
344923399;NAME_ACTIVITY_REQUIRED;859799.0;1
344923399;NAME_ACTIVITY_PROPOSED;2.502454857E9;6
344923399;NAME_ACTIVITY_TRANSPORTATION;4715912.0;21
1922718190;NAME_ACTIVITY_REQUIRED;859799.0;1
1922718190;NAME_ACTIVITY_PROPOSED;2.390058174E9;6
1922718190;NAME_ACTIVITY_TRANSPORTATION;3634003.0;15
130659434;NAME_ACTIVITY_REQUIRED;859799.0;1
130659434;NAME_ACTIVITY_PROPOSED;1.870786188E9;6
130659434;NAME_ACTIVITY_TRANSPORTATION;4688893.0;15
1060559242;NAME_ACTIVITY_REQUIRED;859799.0;1
1060559242;NAME_ACTIVITY_PROPOSED;1.759565365E9;6
1060559242;NAME_ACTIVITY_TRANSPORTATION;4928162.0;19
1404935246;NAME_ACTIVITY_REQUIRED;859799.0;1
1404935246;NAME_ACTIVITY_PROPOSED;1.589619943E9;6
1404935246;NAME_ACTIVITY_TRANSPORTATION;5872602.0;24
1934162686;NAME_ACTIVITY_REQUIRED;859799.0;1
1934162686;NAME_ACTIVITY_PROPOSED;1.389542764E9;6
1934162686;NAME_ACTIVITY_TRANSPORTATION;7206200.0;21
963148313;NAME_ACTIVITY_REQUIRED;994993.0;1
963148313;NAME_ACTIVITY_PROPOSED;3.609474616E9;6
963148313;NAME_ACTIVITY_TRANSPORTATION;5452959.0;21
807079479;NAME_ACTIVITY_REQUIRED;994993.0;1
807079479;NAME_ACTIVITY_PROPOSED;3.189406158E9;6
807079479;NAME_ACTIVITY_TRANSPORTATION;6092909.0;16
259763094;NAME_ACTIVITY_REQUIRED;994993.0;1
259763094;NAME_ACTIVITY_PROPOSED;2.80488105E9;6
259763094;NAME_ACTIVITY_TRANSPORTATION;5303796.0;20
1003499405;NAME_ACTIVITY_REQUIRED;994993.0;1
1003499405;NAME_ACTIVITY_PROPOSED;2.022065419E9;6
1003499405;NAME_ACTIVITY_TRANSPORTATION;4031222.0;14
1091711580;NAME_ACTIVITY_REQUIRED;994993.0;1
1091711580;NAME_ACTIVITY_PROPOSED;8.94211019E8;6
1091711580;NAME_ACTIVITY_TRANSPORTATION;5296372.0;22
688977663;NAME_ACTIVITY_REQUIRED;994993.0;1
688977663;NAME_ACTIVITY_PROPOSED;8.13648571E8;5
688977663;NAME_ACTIVITY_TRANSPORTATION;4776324.0;22
2070273872;NAME_ACTIVITY_REQUIRED;994993.0;1
2070273872;NAME_ACTIVITY_PROPOSED;7.86631886E8;4
2070273872;NAME_ACTIVITY_TRANSPORTATION;4457639.0;17
1106455542;NAME_ACTIVITY_REQUIRED;994993.0;1
1106455542;NAME_ACTIVITY_PROPOSED;5.32146295E8;3
1106455542;NAME_ACTIVITY_TRANSPORTATION;5399607.0;19
287531334;NAME_ACTIVITY_REQUIRED;994993.0;1
287531334;NAME_ACTIVITY_PROPOSED;3.080578E8;2
287531334;NAME_ACTIVITY_TRANSPORTATION;3319001.0;14
1068161683;NAME_ACTIVITY_REQUIRED;994993.0;1
1068161683;NAME_ACTIVITY_PROPOSED;1.10561325E8;1
1068161683;NAME_ACTIVITY_TRANSPORTATION;6436992.0;21
