horaInicioViajeCarga;tiempoViajeCarga;horaLlegadaViajeCarga;horaInicioCarga;tiempoCarga;horaFinCarga;horaInicioViajeDescarga;tiempoViajeDescarga;horaLlegadaViajeDescarga;horaInicioDescarga;tiempoDescarga;horaFinDescarga;pointNameSupplyActivityProposed;pointNameSupplyActivityRequired;pointNameSupplyActivityTransportation;ayudaRequerida;ayudaTransportada;tiempoDuraciónConversacionRequerida (ms);tiempoDuraciónConversacionPropuesta (ms);tiempoDuraciónConversacionTransporte (ms);tiempoDuraciónConversacionTotal (ms);cantidadNegociacionesTotal
0;50;50;50;840;890;890;229;1119;1119;420;1539;Donador1;PuntoDistribucion9;Transporte2_remolque_1;420;420;859799.0;4.07436447E9;7205346.0;4.082429615E9;31
0;50;50;50;800;850;850;117;967;967;400;1367;Donador1;PuntoDistribucion4;Transporte2_7ton_1;400;400;859799.0;3.998600447E9;6032995.0;4.005493241E9;32
0;100;100;100;800;900;900;99;999;999;400;1399;Donador6;PuntoDistribucion24;Transporte4_remolque_1;400;400;859799.0;4.27153689E9;5485821.0;4.27788251E9;25
0;100;100;100;700;800;800;117;917;917;350;1267;Donador6;PuntoDistribucion23;Transporte4_trailer_4;350;350;859799.0;3.837021938E9;7231718.0;3.845113455E9;30
0;100;100;100;700;800;800;120;920;920;350;1270;Donador6;PuntoDistribucion2;Transporte4_trailer_2;350;350;859799.0;3.623116599E9;8249041.0;3.632225439E9;35
0;70;70;70;660;730;730;89;819;819;330;1149;Donador4;PuntoDistribucion18;Transporte4_20ton_2;330;330;859799.0;3.385425956E9;6662884.0;3.392948639E9;31
0;70;70;70;640;710;710;39;749;749;320;1069;Donador4;PuntoDistribucion8;Transporte4_20ton_2;320;320;859799.0;2.969765319E9;6235286.0;2.976860404E9;35
0;70;70;70;620;690;690;91;781;781;310;1091;Donador4;PuntoDistribucion15;Transporte4_megatrailer_4;310;310;859799.0;2.935169152E9;4816047.0;2.940844998E9;24
0;40;40;40;600;640;640;111;751;751;300;1051;Donador8;PuntoDistribucion5;Transporte4_20ton_1;300;300;859799.0;2.779840259E9;6880192.0;2.78758025E9;32
0;40;40;40;600;640;640;101;741;741;300;1041;Donador8;PuntoDistribucion25;Transporte4_20ton_1;300;300;859799.0;2.761069221E9;5365333.0;2.767294353E9;29
0;40;40;40;580;620;620;90;710;710;290;1000;Donador8;PuntoDistribucion20;Transporte4_trailer_4;290;290;859799.0;2.67719156E9;7252537.0;2.685303896E9;30
0;46;46;46;560;606;606;42;648;648;280;928;Donador5;PuntoDistribucion14;Transporte4_trailer_2;280;280;859799.0;2.568857092E9;5403939.0;2.57512083E9;25
0;46;46;46;540;586;586;87;673;673;270;943;Donador5;PuntoDistribucion10;Transporte4_trailer_3;270;270;859799.0;2.502454857E9;4715912.0;2.508030568E9;28
0;46;46;46;520;566;566;79;645;645;260;905;Donador5;PuntoDistribucion22;Transporte4_remolque_4;260;260;859799.0;2.390058174E9;3634003.0;2.394551976E9;22
0;46;46;46;400;446;446;104;550;550;200;750;Donador5;PuntoDistribucion17;Transporte4_remolque_1;200;200;859799.0;1.870786188E9;4688893.0;1.87633488E9;22
0;46;46;46;380;426;426;69;495;495;190;685;Donador5;PuntoDistribucion12;Transporte4_trailer_5;190;190;859799.0;1.759565365E9;4928162.0;1.765353326E9;26
0;40;40;40;340;380;380;31;411;411;170;581;Donador8;PuntoDistribucion19;Transporte4_megatrailer_4;170;170;859799.0;1.589619943E9;5872602.0;1.596352344E9;31
0;99;99;99;300;399;399;97;496;496;150;646;Donador10;PuntoDistribucion3;Transporte4_trailer_3;150;150;859799.0;1.389542764E9;7206200.0;1.397608763E9;28
300;99;399;399;840;1239;1239;78;1317;1317;420;1737;Donador10;PuntoDistribucion9;Transporte4_trailer_5;420;420;994993.0;3.609474616E9;5452959.0;3.615922568E9;28
300;173;473;473;800;1273;1273;120;1393;1393;400;1793;Donador10;PuntoDistribucion4;Transporte1_7ton_3;400;400;994993.0;3.189406158E9;6092909.0;3.19649406E9;23
300;99;399;399;800;1199;1199;99;1298;1298;400;1698;Donador10;PuntoDistribucion24;Transporte4_remolque_4;400;400;994993.0;2.80488105E9;5303796.0;2.811179839E9;27
300;90;390;390;698;1088;1088;34;1122;1122;349;1471;Donador4;PuntoDistribucion2;Transporte2_7ton_1;350;349;994993.0;2.022065419E9;4031222.0;2.027091634E9;21
300;70;370;370;352;722;722;117;839;839;176;1015;Donador4;PuntoDistribucion23;Transporte4_remolque_2;350;176;994993.0;8.94211019E8;5296372.0;9.00502384E8;29
300;50;350;350;280;630;630;212;842;842;140;982;Donador1;PuntoDistribucion18;Transporte2_trailer_1;330;140;994993.0;8.13648571E8;4776324.0;8.19419888E8;28
300;173;473;473;242;715;715;78;793;793;121;914;Donador10;PuntoDistribucion8;Transporte1_7ton_3;320;121;994993.0;7.86631886E8;4457639.0;7.92084518E8;22
300;46;346;346;176;522;522;91;613;613;88;701;Donador5;PuntoDistribucion15;Transporte4_remolque_2;310;88;994993.0;5.32146295E8;5399607.0;5.38540895E8;23
300;115;415;415;110;525;525;257;782;782;55;837;Donador6;PuntoDistribucion5;Transporte5_7ton_1;300;55;994993.0;3.080578E8;3319001.0;3.12371794E8;17
300;84;384;384;34;418;418;86;504;504;17;521;Donador8;PuntoDistribucion25;Transporte1_7ton_2;300;17;994993.0;1.10561325E8;6436992.0;1.1799331E8;23
